refrigeration_space_type,standards_building_type,walkin_name,walkin_type,size_ft2,reference_space_type_area_ft2,notes
kitchen,,Walk-in Cooler,Walk-in Cooler,150,1500,
kitchen,,Walk-in Freezer,Walk-in Freezer,150,1500,
kitchen,PrimarySchool,Walk-in Cooler,Walk-in Cooler,120,1800,
kitchen,PrimarySchool,Walk-in Freezer,Walk-in Freezer,120,1800,
kitchen,SecondarySchool,Walk-in Cooler,Walk-in Cooler,240,2325,
kitchen,SecondarySchool,Walk-in Freezer,Walk-in Freezer,240,2325,
kitchen,QuickServiceRestaurant,Walk-in Cooler,Walk-in Cooler,100,1250,
kitchen,QuickServiceRestaurant,Walk-in Freezer,Walk-in Freezer,100,1250,
kitchen,FullServiceRestaurant,Walk-in Cooler,Walk-in Cooler,100,1500,
kitchen,FullServiceRestaurant,Walk-in Freezer,Walk-in Freezer,100,1500,
kitchen,LargeHotel,Walk-in Cooler,Walk-in Cooler,120,1110,
kitchen,LargeHotel,Walk-in Freezer,Walk-in Freezer,120,1110,
kitchen,Hospital,Walk-in Cooler,Walk-in Cooler,360,10000,
kitchen,Hospital,Walk-in Freezer,Walk-in Freezer,360,10000,
bakery,SuperMarket,Bakery Cooler,Walk-in Cooler,120,5000,
bakery,SuperMarket,Bakery Freezer,Walk-in Freezer,150,5000,
kitchen,SuperMarket,Kitchen Cooler,Walk-in Cooler,290,5000,
kitchen,SuperMarket,Kitchen Freezer,Walk-in Freezer,96,5000,
grocery_sales,,Beer Cooler,Walk-in Cooler,320,27500,
grocery_sales,,Dairy Cooler,Walk-in Cooler,240,27500,
grocery_sales,,Floral Cooler,Walk-in Cooler,80,27500,
grocery_sales,,Grocery Freezer,Walk-in Freezer,240,27500,
grocery_sales,,Meat Cooler,Walk-in Cooler,570,27500,
grocery_sales,,Meat Freezer,Walk-in Freezer,60,27500,
grocery_sales,,Prep Cooler 1,Walk-in Cooler,480,27500,
grocery_sales,,Prep Cooler 2,Walk-in Cooler,480,27500,
grocery_sales,,Produce Cooler,Walk-in Cooler,620,27500,
grocery_sales,,Specialty Cooler,Walk-in Cooler,72,27500
