lighting_type_id,description,source,type,id,unit
61,"Metal Halide 250W lamps Type J Low Bay Surface Mount, aluminum reflector 28FC, includes hardware",rs-means,Unit,190253,Ea
62,"Metal Halide 400 W bulb Surface Mount, aluminum reflector, includes hardware",rs-means,Unit,190254,Ea
63,"Metal Halide 400W lamps Type J Low Bay Surface Mount, aluminum reflector 44FC, includes hardware",rs-means,Unit,190255,Ea
64,"Metal halide fixture, interior, recessed, square, 175 W, incl lamps, and mounting hardware",rs-means,Unit,190256,Ea
65,"Metal halide fixture, interior, surface, square, 175 W, incl lamps, and mounting hardware",rs-means,Unit,190257,Ea
66,"Metal halide fixture, interior, pendent, square, 175 W, incl lamps, and mounting hardware",rs-means,Unit,190258,Ea
67,"Metal halide fixture, interior, pendent, square, 200 W, incl lamps, and mounting hardware",rs-means,Unit,190259,Ea
68,"Metal halide fixture, interior, pendent, square, 400 W, incl lamps, and mounting hardware",rs-means,Unit,190260,Ea
69,"Metal halide fixture, interior, integral ballast, prismatic glass lens, recess mounted, 250 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,190261,Ea
70,"Metal halide fixture, interior, integral ballast, prismatic glass lens, recess mounted, 400 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,190262,Ea
71,"Metal halide fixture, interior, integral ballast, prismatic glass lens, surface mounted, 250 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,190263,Ea
72,"Metal halide fixture, interior, integral ballast, prismatic glass lens, surface mounted, 400 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,190264,Ea
73,"Metal halide fixture, interior, surface mounted, high bay, aluminum reflector, single unit, 400 W, incl lamps, mounting hardware and connections",rs-means,Unit,190254,Ea
74,"Metal halide fixture, interior, surface mounted, high bay, aluminum reflector, single unit, 1000 W, incl lamps, mounting hardware and connections",rs-means,Unit,190252,Ea
75,"Metal halide fixture, interior, surface mounted, high bay, aluminum reflector, twin unit, 2-400 W, incl lamps, mounting hardware and connections",rs-means,Unit,190265,Ea
76,"Metal halide fixture, interior, surface mounted, low bay, aluminum reflector, DX lamp, 250 W, incl lamps, mounting hardware and connections",rs-means,Unit,190253,Ea
77,"Metal halide fixture, interior, surface mounted, low bay, aluminum reflector, DX lamp, 400 W, incl lamps, mounting hardware and connections",rs-means,Unit,190255,Ea
80,"High pressure sodium fixture, interior, recessed, square, 70 W, incl lamps, and mounting hardware",rs-means,Unit,190266,Ea
81,"High pressure sodium fixture, interior, recessed, square, 100 W, incl lamps, and mounting hardware",rs-means,Unit,190267,Ea
82,"High pressure sodium fixture, interior, recessed, square, 250 W, incl lamps, and mounting hardware",rs-means,Unit,190268,Ea
83,"High pressure sodium fixture, interior, recessed, square, 1000 W, incl lamps, and mounting hardware",rs-means,Unit,190269,Ea
84,"High pressure sodium fixture, interior, surface, square, 70 W, incl lamps, and mounting hardware",rs-means,Unit,190270,Ea
85,"High pressure sodium fixture, interior, surface, square, 100 W, incl lamps, and mounting hardware",rs-means,Unit,190271,Ea
86,"High pressure sodium fixture, interior, surface, square, 250 W, incl lamps, and mounting hardware",rs-means,Unit,190272,Ea
87,"High pressure sodium fixture, interior, pendent, square, 70 W, incl lamps, and mounting hardware",rs-means,Unit,190273,Ea
88,"High pressure sodium fixture, interior, pendent, square, 100 W, incl lamps, and mounting hardware",rs-means,Unit,190274,Ea
89,"High pressure sodium fixture, interior, pendent, square, 150 W, incl lamps, and mounting hardware",rs-means,Unit,190275,Ea
90,"High pressure sodium fixture, interior, pendent, square, 250 W, incl lamps, and mounting hardware",rs-means,Unit,190276,Ea
91,"High pressure sodium fixture, interior, pendent, square, 400 W, incl lamps, and mounting hardware",rs-means,Unit,190277,Ea
92,"High pressure sodium fixture, interior, wall, square, 70 W, incl lamps, and mounting hardware",rs-means,Unit,190278,Ea
93,"High pressure sodium fixture, interior, wall, square, 100 W, incl lamps, and mounting hardware",rs-means,Unit,190279,Ea
94,"High pressure sodium fixture, interior, wall, square, 150 W, incl lamps, and mounting hardware",rs-means,Unit,190280,Ea
95,"High pressure sodium fixture, interior, wall, square, 250 W, incl lamps, and mounting hardware",rs-means,Unit,190281,Ea
96,"High pressure sodium fixture, interior, wall, square, 400 W, incl lamps, and mounting hardware",rs-means,Unit,190282,Ea
97,"High pressure sodium fixture, interior, wall, square, 1000 W, incl lamps, and mounting hardware",rs-means,Unit,190283,Ea
78,"High pressure sodium fixture, interior, integral ballast, prismatic glass lens, recess mounted, 150 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,190284,Ea
79,"High pressure sodium fixture, interior, integral ballast, prismatic glass lens, recess mounted, 400 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,190285,Ea
80,"High pressure sodium fixture, interior, integral ballast, prismatic glass lens, surface mounted, 150 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,190286,Ea
81,"High pressure sodium fixture, interior, integral ballast, prismatic glass lens, surface mounted, 400 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,190287,Ea
82,"High pressure sodium fixture, interior, surface mounted, high bay, aluminum reflector, single unit, 400 W, incl lamps, mounting hardware and connections",rs-means,Unit,190288,Ea
83,"High pressure sodium fixture, interior, surface mounted, high bay, aluminum reflector, single unit, 1000 W, incl lamps, mounting hardware and connections",rs-means,Unit,190289,Ea
84,"High pressure sodium fixture, interior, surface mounted, low bay, aluminum reflector, 150 W, incl lamps, mounting hardware and connections",rs-means,Unit,190290,Ea
90,"HID quartz restrike, interior lighting fixtures, high bay, incl lamps, mounting hardware and connections",rs-means,Unit,190291,Ea
100,"Interior LED fixtures, downlight, recess mounted, 25 watt, 7.5"" diameter, incl lamps, mounting hardware and connections",rs-means,Unit,190292,Ea
101,"Interior LED fixtures, downlight, recess mounted, 36 watt, 10"" diameter, incl lamps, mounting hardware and connections",rs-means,Unit,190293,Ea
102,"Interior LED fixtures, downlight, cylinder, 10 watts, incl lamps, mounting hardware and connections",rs-means,Unit,190294,Ea
103,"Interior LED fixtures, downlight, cylinder, 20 watts, incl lamps, mounting hardware and connections",rs-means,Unit,190295,Ea
104,"Interior LED fixtures, troffer, recess mounted, 37 Watts, 3200 Lumens, 2' x 4', incl lamps, mounting hardware and connections, replaces 2 T8s",rs-means,Unit,190296,Ea
105,"Interior LED fixtures, troffer, recess mounted, 60 Watts, 4800 Lumens, 2' x 4', incl lamps, mounting hardware and connections, replaces 3 Ts",rs-means,Unit,190297,Ea
106,"Interior LED fixtures, troffer, recess mounted, 100 Watts, 6400 Lumens, 2' x 4', incl lamps, mounting hardware and connections, replaces 4 T8s",rs-means,Unit,190298,Ea
107,"Interior LED fixtures, troffer retrofit lamp, 38 watt, incl lamps, mounting hardware and connections",rs-means,Unit,190299,Ea
108,"Interior LED fixtures, troffer retrofit lamp, 60 watt, incl lamps, mounting hardware and connections",rs-means,Unit,190300,Ea
109,"Interior LED fixtures, troffer retrofit lamp, 100 watt, incl lamps, mounting hardware and connections",rs-means,Unit,190301,Ea
110,"Interior LED fixtures, troffer, volumetric recess mounted, 2' x 2', incl lamps, mounting hardware and connections",rs-means,Unit,190302,Ea
111,"Interior LED fixtures, strip, surface mounted, 37 Watts, 3500K, one light bar 4' long, incl lamps, mounting hardware and connections",rs-means,Unit,190303,Ea
112,"Interior LED fixtures, strip, surface mounted,  47 Watts 5000K, one light bar 4' long, incl lamps, mounting hardware and connections",rs-means,Unit,190304,Ea
113,"Interior LED fixtures, strip, surface mounted, 92 Watts, 5000K, two light bar 4' long, incl lamps, mounting hardware and connections",rs-means,Unit,190305,Ea
114,"Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections",rs-means,Unit,190306,Ea
115,"Interior LED fixtures, linear, suspended mounted, 74 watt, one light bar 8' long, incl lamps, mounting hardware and connections",rs-means,Unit,190307,Ea
116,"Interior LED fixtures, linear, suspended mounted, 74 watt, two light bar 4' long, incl lamps, mounting hardware and connections",rs-means,Unit,190308,Ea
117,"Interior LED fixtures, linear, suspended mounted, 148 watt, two light bar 8' long, incl lamps, mounting hardware and connections",rs-means,Unit,190309,Ea
118,"Interior LED fixtures, high bay, surface mounted, round, 150 watt",rs-means,Unit,190310,Ea
119,"Interior LED fixtures, high bay, surface mounted,two bars, 164 watt",rs-means,Unit,190311,Ea
120,"Interior LED fixtures, high bay, surface mounted, three bars, 246 watt",rs-means,Unit,190312,Ea
121,"Interior LED fixtures, high bay, surface mounted, four bars, 328 watt",rs-means,Unit,190313,Ea
122,"Interior LED fixtures, high bay, surface mounted, five bars, 410 watt",rs-means,Unit,190314,Ea
123,"Interior LED fixtures, high bay, surface mounted, 6 bars, 492 watt",rs-means,Unit,190315,Ea
124,"Interior LED fixtures, high bay, surface mounted, 7 bars, 574 watt",rs-means,Unit,190316,Ea
125,"Interior LED fixtures, high bay, surface mounted, 8 bars, 656 watt",rs-means,Unit,190317,Ea
126,"Interior LED fixtures, track, lighthead, 6 watt",rs-means,Unit,190318,Ea
127,"Interior LED fixtures, track, lighthead, 9 watt",rs-means,Unit,190319,Ea
128,"Interior LED fixtures, garage, surface mounted, 103 watts",rs-means,Unit,190320,Ea
129,"Interior LED fixtures, garage, pendent mounted, 80 watts",rs-means,Unit,190321,Ea
130,"Interior LED fixtures, garage, pendent mounted, 95 watts",rs-means,Unit,190322,Ea
131,"Interior LED fixtures, garage, pendent mounted, 125 watts",rs-means,Unit,190323,Ea
150,"Fluorescent fixtures, residential, interior, surface mounted, circline, 32 watt & 40 watt",rs-means,Unit,190324,Ea
151,"Fluorescent fixtures, residential, interior, surface mounted, 2 U-tube 32 watt T8, 2' x 2'",rs-means,Unit,190325,Ea
152,"Fluorescent fixtures, residential, interior, surface mounted, shallow under cabinet, 2-20 watt",rs-means,Unit,190326,Ea
153,"Fluorescent fixtures, residential, interior, wall mounted, with baffle, 2-32 watt T8, 4' L",rs-means,Unit,190327,Ea
160,"Ballast, replacement, interior lighting fixtures, fluorescent, less than 2 lbs, to 15' high",rs-means,Unit,190328,Ea
161,"Ballast, replacement, interior lighting fixtures, fluorescent, w/ reducer, two 40 W, 2 to 5 lbs, to 15' high",rs-means,Unit,190329,Ea
162,"Ballast, replacement, interior lighting fixtures, fluorescent, slimline, two F96, over 5 lbs, to 15' high",rs-means,Unit,190330,Ea
163,"Electronic ballast, replacement, interior lighting fixtures, for two tubes, to 15' high",rs-means,Unit,190331,Ea
164,"Dimmable ballast, replacement, interior lighting fixtures, one lamp, to 15' high",rs-means,Unit,190332,Ea
165,"Dimmable ballast, replacement, interior lighting fixtures, two-lamp, to 15' high",rs-means,Unit,190333,Ea
166,"Ballasts, replacement, multi-tap, for high pressure sodium, 70 watt",rs-means,Unit,190334,Ea
167,"Ballasts, replacement, multi-tap, for high pressure sodium, 100 watt",rs-means,Unit,190335,Ea
168,"Ballasts, replacement, multi-tap, for high pressure sodium, 150 watt",rs-means,Unit,190336,Ea
169,"Ballasts, replacement, multi-tap, for high pressure sodium, 250 watt",rs-means,Unit,190337,Ea
170,"Ballasts, replacement, multi-tap, for high pressure sodium, 400 watt",rs-means,Unit,190338,Ea
171,"Ballasts, replacement, multi-tap, for high pressure sodium, 1000 watt",rs-means,Unit,190339,Ea
172,"Ballasts, replacement, multi-tap, for metal halide, 175 Watt",rs-means,Unit,190340,Ea
173,"Ballasts, replacement, multi-tap, for metal halide, 250 Watt",rs-means,Unit,190341,Ea
