lighting_type_id,description,source,type,id,unit
278,"LED lamp, interior, MR16, 3 watt, replacement of halogen 25 watt",rs-means,Unit,190446,Ea
279,"LED lamp, interior, MR16, 6 watt, replacement of halogen 45 watt",rs-means,Unit,190447,Ea
280,"LED lamp, interior, PAR20, 10 watt, equal to 60 watt",rs-means,Unit,190448,Ea
281,"LED lamp, interior, PAR30, 15 watt, equal to 100 watt",rs-means,Unit,190449,Ea
282,"LED lamp 50 watt, w 6ft pri",rs-means,Unit,190450,Ea
283,LED 11 watt dimmable warm white,rs-means,Unit,190451,Ea
284,LED 13 watt dimmable warm white,rs-means,Unit,190452,Ea
285,"LED 9 watt 3500K strip replacement for T8 2 ft linear, frosted",rs-means,Unit,190453,Ea
286,"LED 9 watt 4000K strip replacement for T8 2 ft linear, frosted",rs-means,Unit,190454,Ea
287,"LED 9 watt 5000K strip replacement for T8 2 ft linear, frosted",rs-means,Unit,190455,Ea
288,"LED 18 watt 4000K strip replacement for T8 4 ft linear, frosted",rs-means,Unit,190456,Ea
289,"LED 18 watt 5000K strip replacement for T8 4 ft linear, frosted",rs-means,Unit,190457,Ea
400,Lighting Control  Module,rs-means,Unit,190458,Ea
401,Remote Power Pack,rs-means,Unit,190459,Ea
402,"Occupancy Sensor, passive infrared ceiling mount",rs-means,Unit,190460,Ea
403,"Occupancy Sensor, ultrasonic ceiling mount",rs-means,Unit,190461,Ea
404,"Occupancy Sensor, dual technology ceiling mount",rs-means,Unit,190462,Ea
405,Automatic wall Switch,rs-means,Unit,190463,Ea
406,"Daylight sensor, manual control ceiling mount",rs-means,Unit,190464,Ea
407,"Daylight sensor, ceiling mount, remote with dimming and remote controller",rs-means,Unit,190465,Ea
408,"Daylight sensor,wall mount on/off with dimming",rs-means,Unit,190466,Ea
290,"LED lamp, 17 W LED PAR 38 100 W replacement parabolic reflector ",rs-means,Unit,190452,Ea
