material_id,Material,description,Size,Fuel,source,type,id,unit,province_state,city,year,material_cost,labour_cost,equipment_cost,material_op_factor,labour_op_factor,equipment_op_factor,comments,material_mult,labour_mult
105,CSteelElbow,"Elbow, 90 Deg., steel, carbon steel, black, long radius, butt weld, standard weight, 2-1/2"" pipe size, includes 1 weld per joint and weld machine",2.5,,rs-means,Unit,180570,each,,,,,,,,,,,1.0,1.0
106,CSteelElbow,"Elbow, 90 Deg., steel, carbon steel, black, long radius, butt weld, standard weight, 4"" pipe size, includes 1 weld per joint and weld machine",4,,rs-means,Unit,180571,each,,,,,,,,,,,1.0,1.0
107,CSteelRed,"Reducer, steel, carbon steel, black, eccentric, butt weld, standard weight, 2-1/2"" pipe size, includes 1 weld per joint and weld machine",2.5,,rs-means,Unit,180572,each,,,,,,,,,,,1.0,1.0
108,CSteelTee,"Tee, steel, carbon steel, black, reducing on the outlet, butt weld, standard weight, 2-1/2"" x 2"" pipe size, includes 1 weld per joint and weld machine",2.5,,rs-means,Unit,180573,each,,,,,,,,,,,1.0,1.0
109,CSteelNozzle,"Nozzle, steel, T-O-L, weld-on, 1/4"" pipe size, includes 1 weld per joint and weld machine",0.25,,rs-means,Unit,180574,each,,,,,,,,,,,1.0,1.0
110,CSteelNozzle,"Nozzle, steel, T-O-L, weld-on, 1/2"" pipe size, includes 1 weld per joint and weld machine",0.5,,rs-means,Unit,180575,each,,,,,,,,,,,1.0,1.0
111,CSteelNozzle,"Nozzle, steel, T-O-L, weld-on, 3/4"" pipe size, includes 1 weld per joint and weld machine",0.75,,rs-means,Unit,180576,each,,,,,,,,,,,1.0,1.0
112,SteelFlange,"Flange, steel, forged steel, weld neck, 150 lb., 2-1/2"" pipe size, includes 1 weld per joint and weld machine",2.5,,rs-means,Unit,180577,each,,,,,,,,,,,1.0,1.0
113,SteelFlange,"Flange, steel, forged steel, weld neck, 150 lb., 4"" pipe size, includes 1 weld per joint and weld machine",4,,rs-means,Unit,180578,each,,,,,,,,,,,1.0,1.0
114,SteelPlug,"Pressure & temperature safety plug, 3/4"" external thread, 3/8"" diameter element, 7-1/2"" insertion, 316 stainless steel",,,rs-means,Unit,180579,each,,,,,,,,,,,1.0,1.0
115,Strainers,"Strainer, Y type, bronze body, screwed, 125 lb., 3/4"" pipe size",0.75,,rs-means,Unit,180580,each,,,,,,,,,,,1.0,1.0
116,Strainers,"Strainer, Y type, bronze body, screwed, 125 lb., 1"" pipe size",1,,rs-means,Unit,180581,each,,,,,,,,,,,1.0,1.0
117,Strainers,"Strainer, Y type, bronze body, screwed, 125 lb., 1-1/4"" pipe size",1.25,,rs-means,Unit,180582,each,,,,,,,,,,,1.0,1.0
118,Strainers,"Strainer, Y type, bronze body, screwed, 125 lb., 1-1/2"" pipe size",1.5,,rs-means,Unit,180583,each,,,,,,,,,,,1.0,1.0
119,Strainers,"Strainer, Y type, bronze body, screwed, 125 lb., 2"" pipe size",2,,rs-means,Unit,180584,each,,,,,,,,,,,1.0,1.0
120,Strainers,"Strainer, Y type, bronze body, flanged, 150 lb., 2-1/2"" pipe size, flanged",2.5,,rs-means,Unit,180585,each,,,,,,,,,,,1.0,1.0
121,Strainers,"Strainer, Y type, bronze body, flanged, 150 lb., 3"" pipe size, flanged",3,,rs-means,Unit,180586,each,,,,,,,,,,,1.0,1.0
122,CircuitSetter,"Circuit setter balance valve, bronze body, threaded, 3/4"" pipe size",0.75,,rs-means,Unit,180587,each,,,,,,,,,,,1.0,1.0
123,CircuitSetter,"Circuit setter balance valve, bronze body, threaded, 1"" pipe size",1,,rs-means,Unit,180588,each,,,,,,,,,,,1.0,1.0
124,CircuitSetter,"Circuit setter balance valve, bronze body, threaded, 1-1/4"" pipe size",1.25,,rs-means,Unit,180589,each,,,,,,,,,,,1.0,1.0
125,CircuitSetter,"Circuit setter balance valve, bronze body, threaded, 1-1/2"" pipe size",1.5,,rs-means,Unit,180590,each,,,,,,,,,,,1.0,1.0
126,CircuitSetter,"Circuit setter balance valve, bronze body, threaded, 2"" pipe size",2,,rs-means,Unit,180591,each,,,,,,,,,,,1.0,1.0
127,CircuitSetter,"Circuit setter balance valve, bronze body, threaded, 2-1/2"" pipe size",2.5,,rs-means,Unit,180592,each,,,,,,,,,,,1.0,1.0
128,AirSeparator,"Air control, air separator, micro-bubble type for total air removal, closed loop system, water (hot or chilled), or glycol system, threaded, 2-1/2"" diameter, excludes necessary bladder type tank",,,rs-means,Unit,180593,each,,,,,,,,,,,1.0,1.0
129,ExpansionTanks,"Expansion joints, bellows type, neoprene cover, flanged spool, 6"" face to face, 2-1/2"" diameter",,,rs-means,Unit,180594,each,,,,,,,,,,,1.0,1.0
130,ExpansionTanks,"Expansion tanks, steel, liquid expansion, painted, 15 gallon capacity, ASME",15,,rs-means,Unit,180595,each,,,,,,,,,,,1.0,1.0
131,ExpansionTanks,"Expansion tanks, steel, liquid expansion, painted, 24 gallon capacity, ASME",24,,rs-means,Unit,180596,each,,,,,,,,,,,1.0,1.0
132,ExpansionTanks,"Expansion tanks, steel, liquid expansion, painted, 60 gallon capacity, ASME",60,,rs-means,Unit,180597,each,,,,,,,,,,,1.0,1.0
133,ExpansionTanks,"Expansion tanks, steel, liquid expansion, rubber diaphragm, size is acceptable capacity, 61 gallon capacity, ASME",,,rs-means,Unit,180598,each,,,,,,,,,,,1.0,1.0
134,Balancing,"Balancing, air conditioning equipment, rooftop heating and cooling unit, (Subcontractor's quote including material & labor)",,,rs-means,Unit,180599,each,,,,,,,,,,,1.0,1.0
135,Balancing,"Balancing, air conditioning equipment, supply, return, exhaust, registers and diffusers, high ceiling, (Subcontractor's quote including material & labor)",,,rs-means,Unit,180600,each,,,,,,,,,,,1.0,1.0
136,Balancing,"Balancing, air conditioning equipment, supply, return, exhaust, registers and diffusers, variable volume boxes, (Subcontractor's quote including material & labor)",,,rs-means,Unit,180601,each,,,,,,,,,,,1.0,1.0
137,Balancing,"Balancing, water, cooling tower, (Subcontractor's quote including material & labor)",,,rs-means,Unit,180602,each,,,,,,,,,,,1.0,1.0
138,Balancing,"Balancing, water, fan coil unit, unit ventilator, (Subcontractor's quote including material & labor)",,,rs-means,Unit,180603,each,,,,,,,,,,,1.0,1.0
139,Balancing,"Balancing, water, main and duct re-heat coils, (Subcontractor's quote including material & labor)",,,rs-means,Unit,180604,each,,,,,,,,,,,1.0,1.0
140,Balancing,"Balancing, water, pumps, (Subcontractor's quote including material & labor)",,,rs-means,Unit,180605,each,,,,,,,,,,,1.0,1.0
141,Balancing,"Balancing, water, unit heater, (Subcontractor's quote including material & labor)",,,rs-means,Unit,180606,each,,,,,,,,,,,1.0,1.0
142,Controls,"Control components/DDC system, subcontractor's quote incl. material & labor, analog inputs, sensors (average 50' run in 1/2"" EMT), water flow",,,rs-means,Unit,180607,each,,,,,,,,,,,1.0,1.0
143,Controls,"Pneumatic control system, heating & ventilating, split system, cooling tower, fan cycle, damper control, control system, including water readout in/out at panel",,,rs-means,Unit,180608,each,,,,,,,,,,,1.0,1.0
144,Controls,"Pneumatic control system, fan coil, heating & cooling valves, 4 pipe control system",,,rs-means,Unit,180609,each,,,,,,,,,,,1.0,1.0
145,Controls,"Control component, gauges, pressure or vacuum, 3-1/2"" dia. dial",,,rs-means,Unit,180610,each,,,,,,,,,,,1.0,1.0
146,Controls,"Control component, thermometers, stem type, 9"" case, 8"" stem, 3/4"" NPT",,,rs-means,Unit,180611,each,,,,,,,,,,,1.0,1.0
147,Controls,"Control component, thermostats, electric, timed, 1 set back",,,rs-means,Unit,180612,each,,,,,,,,,,,1.0,1.0
148,Controls,"Control component, valves, motor controlled, electric motor actuated, brass, two way, screwed, 3/4"" pipe size, incl. actuator",,,rs-means,Unit,180613,each,,,,,,,,,,,1.0,1.0
149,Controls,"Control component, valves, motor controlled, electric motor actuated, brass, two way, screwed, 1"" pipe size",,,rs-means,Unit,180614,each,,,,,,,,,,,1.0,1.0
150,Controls,"Control component, burner solenoid valve, electric motor actuated, brass two way screwed, 2"" pipe size",,,rs-means,Unit,180615,each,,,,,,,,,,,1.0,1.0
151,Controls,"Control component, burner solenoid valve, brass, three way, screwed, 1-1/2"" pipe size",,,rs-means,Unit,180616,each,,,,,,,,,,,1.0,1.0
152,Controls,"Control component, burner solenoid valve, iron body, three way, flanged, 2-1/2"" pipe size",,,rs-means,Unit,180617,each,,,,,,,,,,,1.0,1.0
153,DuctInsulationGrease,"Duct thermal insulation, blanket type, fiberglass, flexible, fire rated for grease ducts, 1-1/2"" thick",1.5,,rs-means,Unit,180618,ft2,,,,,,,,,,,1.0,1.0
154,DuctInsulation,"Duct thermal insulation, blanket type, fiberglass, flexible, FSK vapor barrier wrap, .75 lb. density, 1-1/2"" thick",1.5,,rs-means,Unit,180619,ft2,,,,,,,,,,,1.0,1.0
155,Ductwork,"Metal ductwork, fabricated rectangular, galvanized steel, under 200 lb., incl fittings, joints, supports & allow for a flexible connections field sketches, excludes as-built drawings and insulation",199,,rs-means,Unit,180620,lb.,,,,,,,,,,,1.0,1.0
156,Ductwork,"Metal ductwork, fabricated rectangular, galvanized steel, 200 to 500 lb., incl fittings, joints, supports & allow for a flexible connections field sketches, excludes as-built drawings and insulation",200,,rs-means,Unit,180621,lb.,,,,,,,,,,,1.0,1.0
157,Ductwork-F,"Rigid fibreglass reinforced plastic, 4 "" diameter",4,,rs-means,Unit,180622,L.F.,,,,,,,,,,,1.0,1.0
158,Ductwork-F,"Rigid fibreglass reinforced plastic, 6 "" diameter",6,,rs-means,Unit,180623,L.F.,,,,,,,,,,,1.0,1.0
